iter	MultiClass
0	1.374065352
1	1.362501787
2	1.348693304
3	1.334457537
4	1.32160896
5	1.308889644
6	1.293981293
7	1.279524807
8	1.266054109
9	1.254261409
10	1.236803916
11	1.222907984
12	1.208557391
13	1.193777661
14	1.178808895
15	1.166599785
16	1.152841147
17	1.139573791
18	1.125960627
19	1.114242554
20	1.101357137
21	1.089854329
22	1.082992905
23	1.071623467
24	1.059122821
25	1.049403371
26	1.038951088
27	1.026117103
28	1.014659665
29	1.005737061
30	0.9972925712
31	0.9849682217
32	0.9759124232
33	0.9644320965
34	0.9561285774
35	0.9451818384
36	0.9346124866
37	0.9254002523
38	0.914417493
39	0.9044549958
40	0.8957950913
41	0.8857052454
42	0.8776663878
43	0.8697126741
44	0.8597375868
45	0.849461534
46	0.8402045169
47	0.831367706
48	0.8191664452
49	0.8094093056
50	0.8019653797
51	0.7946942991
52	0.7872983679
53	0.7801196892
54	0.7733367206
55	0.7644479998
56	0.7574900045
57	0.7484578441
58	0.7409556509
59	0.7326171888
60	0.726731004
61	0.7194636187
62	0.7107498901
63	0.7034592605
64	0.6940297951
65	0.6880940594
66	0.6796870088
67	0.6711427204
68	0.6617248491
69	0.6535920773
70	0.6474070731
71	0.6399538974
72	0.6328599259
73	0.6268687209
74	0.6201208358
75	0.6125484183
76	0.6057144782
77	0.5988771261
78	0.5902109495
79	0.5841717327
80	0.5787001646
81	0.57303425
82	0.5661080267
83	0.5579736981
84	0.5532706606
85	0.5470326812
86	0.5401103411
87	0.5334662918
88	0.525846543
89	0.5199188827
90	0.5127729922
91	0.5068013044
92	0.4982086859
93	0.4910316647
94	0.4841390665
95	0.4765035
96	0.4692733349
97	0.4625372435
98	0.4582042415
99	0.4536457485
100	0.4459392407
101	0.4407504906
102	0.4343924568
103	0.4299076772
104	0.4230586715
105	0.4164706404
106	0.4122003988
107	0.4069961341
108	0.4020588876
109	0.3959025428
110	0.3900292052
111	0.3862053369
112	0.3809712876
113	0.3749239096
114	0.3711979482
115	0.3670141469
116	0.3605926524
117	0.3570130957
118	0.3515599375
119	0.3460226361
120	0.340845247
121	0.336962552
122	0.3325685519
123	0.3285661375
124	0.3256825469
125	0.3216441546
126	0.3186486141
127	0.3159249121
128	0.3127154321
129	0.3092367551
130	0.3064184128
131	0.3030427568
132	0.3004678038
133	0.2966651325
134	0.2933249042
135	0.2905568289
136	0.2869219318
137	0.2826644198
138	0.279799786
139	0.277625358
140	0.2746896802
141	0.2712584751
142	0.2678765355
143	0.2648759458
144	0.2618975663
145	0.2597721606
146	0.2578450444
147	0.2553789143
148	0.252551685
149	0.250810382
150	0.2486530937
151	0.2465245091
152	0.2443019156
153	0.2423375747
154	0.2399940984
155	0.2383666053
156	0.2366022849
157	0.2342946194
158	0.2321100438
159	0.2308414457
160	0.2287091411
161	0.2270128112
162	0.2251724392
163	0.2227690526
164	0.220843974
165	0.2191169108
166	0.2174661355
167	0.2147436122
168	0.2130479052
169	0.2111290741
170	0.2090165507
171	0.2072154117
172	0.2061608614
173	0.2041555854
174	0.2027739309
175	0.2014581754
176	0.2001020943
177	0.1984415102
178	0.1968070453
179	0.1953037265
180	0.1940172519
181	0.1921053779
182	0.1899162776
183	0.188760595
184	0.1867778426
185	0.1853950314
186	0.1841041463
187	0.1830850853
188	0.1813887611
189	0.1800976568
190	0.1784559713
191	0.1772958288
192	0.1765175742
193	0.1754740767
