iter	Passed	Remaining
0	48	48624
1	49	24461
2	49	16441
3	49	12432
4	50	10022
5	51	8526
6	51	7345
7	52	6477
8	53	5891
9	53	5329
10	54	4878
11	54	4503
12	55	4185
13	55	3916
14	56	3681
15	56	3479
16	57	3297
17	57	3128
18	57	2977
19	58	2847
20	58	2729
21	58	2622
22	59	2516
23	59	2427
24	60	2340
25	60	2263
26	60	2194
27	61	2121
28	61	2057
29	61	2000
30	62	1947
31	62	1898
32	63	1852
33	63	1809
34	64	1767
35	64	1724
36	64	1684
37	65	1650
38	65	1616
39	66	1585
40	67	1569
41	67	1543
42	68	1531
43	69	1504
44	69	1479
45	70	1454
46	70	1431
47	71	1409
48	71	1388
49	72	1368
50	72	1348
51	72	1329
52	73	1311
53	73	1291
54	74	1274
55	74	1258
56	75	1242
57	75	1226
58	76	1212
59	76	1197
60	76	1184
61	77	1169
62	77	1156
63	78	1144
64	78	1129
65	79	1118
66	79	1106
67	80	1101
68	80	1088
69	81	1077
70	81	1067
71	82	1057
72	83	1060
73	84	1052
74	84	1045
75	85	1036
76	85	1027
77	86	1019
78	86	1009
79	87	1000
80	87	992
81	87	984
82	88	977
83	88	969
84	89	962
85	89	953
86	90	945
87	90	936
88	90	928
89	91	924
90	92	919
91	92	913
92	93	911
93	94	909
94	95	905
95	95	900
96	95	892
97	96	890
98	97	887
99	98	883
100	99	881
101	99	876
102	100	873
103	101	871
104	101	867
105	102	863
106	102	858
107	103	857
108	104	852
109	105	849
110	106	852
111	106	846
112	107	840
113	107	836
114	108	831
115	108	827
116	108	821
117	109	817
118	109	813
119	110	807
120	110	803
121	111	799
122	111	794
123	111	791
124	112	787
125	113	783
126	113	781
127	114	778
128	114	773
129	115	769
130	115	766
131	115	762
132	116	759
133	116	755
134	117	751
135	117	748
136	118	745
137	118	741
138	119	738
139	119	735
140	120	732
141	120	728
142	121	725
143	121	721
144	121	718
145	122	715
146	122	712
147	123	709
148	123	706
149	124	703
150	124	700
151	124	697
152	125	693
153	125	690
154	126	687
155	126	685
156	127	683
157	128	684
158	128	681
159	129	679
160	129	676
161	130	674
162	130	671
163	131	669
164	131	666
165	132	663
166	132	661
167	132	658
168	133	656
169	133	653
170	134	650
171	134	648
172	135	646
173	135	643
174	136	641
175	136	639
176	137	637
177	137	634
178	137	632
179	138	630
180	138	628
181	139	625
182	139	623
183	140	621
184	140	619
185	141	617
186	141	615
187	141	613
188	142	611
189	142	609
190	143	606
191	143	605
192	144	603
193	144	601
194	145	599
195	146	599
196	147	599
197	147	598
198	148	597
199	149	596
200	149	594
201	150	593
202	150	592
203	151	590
204	152	589
205	152	589
206	153	587
207	153	586
208	154	585
209	155	584
210	156	583
211	156	581
212	157	581
213	158	580
214	158	579
215	159	578
216	159	577
217	160	576
218	161	575
219	161	574
220	162	572
221	163	572
222	163	570
223	164	569
224	164	567
225	165	566
226	165	564
227	166	562
228	166	561
229	167	559
230	167	557
231	167	555
232	168	554
233	168	552
234	169	550
235	169	548
236	170	547
237	170	545
238	170	544
239	171	542
240	171	540
241	172	539
242	172	537
243	173	536
244	173	534
245	173	533
246	174	531
247	174	530
248	175	529
249	176	528
250	176	526
251	177	525
252	177	523
253	177	522
254	178	520
255	178	519
256	179	518
257	179	517
258	180	517
259	181	515
260	181	514
261	182	515
262	183	514
263	184	513
264	184	512
265	185	511
266	186	510
267	186	509
268	187	508
269	187	507
270	188	506
271	188	504
272	188	503
273	189	501
274	189	500
275	190	498
276	190	497
277	190	495
278	191	494
279	191	493
280	192	491
281	192	490
282	193	489
283	193	488
284	194	487
285	194	486
286	195	485
287	195	483
288	196	482
289	196	481
290	197	480
291	198	481
292	200	483
293	201	482
294	201	481
295	202	480
296	202	479
297	203	478
298	204	479
299	204	478
300	205	477
301	207	478
302	207	477
303	208	477
304	209	476
305	209	475
306	210	475
307	210	473
308	211	473
309	212	472
310	212	471
311	213	471
312	214	469
313	216	472
314	217	472
315	217	471
316	218	470
317	218	469
318	220	470
319	221	469
320	221	468
321	221	466
322	222	465
323	222	464
324	222	463
325	223	461
326	223	460
327	224	459
328	224	458
329	225	457
330	225	456
331	226	454
332	226	453
333	227	452
334	227	451
335	228	450
336	228	449
337	229	448
338	229	447
339	229	446
340	230	445
341	230	444
342	231	442
343	231	442
344	232	440
345	232	439
346	232	438
347	233	437
348	234	438
349	235	436
350	235	435
351	236	434
352	236	433
353	237	432
354	237	431
355	237	430
356	238	429
357	238	428
358	239	427
359	239	426
360	240	425
361	240	424
362	240	422
363	241	421
364	242	421
365	242	420
366	243	419
367	243	418
368	244	418
369	245	417
370	245	416
371	246	415
372	246	414
373	247	413
374	247	412
375	248	411
376	248	410
377	248	409
378	249	408
379	249	407
380	249	406
381	250	405
382	250	404
383	251	403
384	251	402
385	252	401
386	252	400
387	253	399
388	253	398
389	253	396
390	254	396
391	254	395
392	256	396
393	256	395
394	257	393
395	257	393
396	258	392
397	258	391
398	258	390
399	259	389
400	259	388
401	261	389
402	262	388
403	262	387
404	263	386
405	263	385
406	264	385
407	264	384
408	265	383
409	265	381
410	265	381
411	266	380
412	266	379
413	267	378
414	267	377
415	268	376
416	268	375
417	269	374
418	269	373
419	270	373
420	271	372
421	271	371
422	271	370
423	272	370
424	273	369
425	273	369
426	275	370
427	276	370
428	277	369
429	278	368
430	279	368
431	279	367
432	280	367
433	280	366
434	281	365
435	281	364
436	282	363
437	282	362
438	283	361
439	283	361
440	284	360
441	285	360
442	286	359
443	286	358
444	287	357
445	287	357
446	287	356
447	288	355
448	289	355
449	290	354
450	292	355
451	292	354
452	292	353
453	293	352
454	293	351
455	294	350
456	294	349
457	294	349
458	295	348
459	295	347
460	296	346
461	296	345
462	297	344
463	297	344
464	298	343
465	299	342
466	300	342
467	300	341
468	301	341
469	301	340
470	302	339
471	302	338
472	303	338
473	304	337
474	304	337
475	305	336
476	306	335
477	306	334
478	307	333
479	307	333
480	307	332
481	308	331
482	309	330
483	309	330
484	310	329
485	310	328
486	311	328
487	312	327
488	312	326
489	313	325
490	313	325
491	314	324
492	314	323
493	315	322
494	315	322
495	316	321
496	316	320
497	317	319
498	317	319
499	319	319
500	320	319
501	321	318
502	321	317
503	322	317
504	322	316
505	322	315
506	323	314
507	324	313
508	324	313
509	325	312
510	326	312
511	326	311
512	327	310
513	327	309
514	328	308
515	328	308
516	328	307
517	329	306
518	329	305
519	330	304
520	330	304
521	331	303
522	331	302
523	332	301
524	332	301
525	333	300
526	333	299
527	334	298
528	335	298
529	335	297
530	336	296
531	336	296
532	337	295
533	337	294
534	338	294
535	338	293
536	339	292
537	339	291
538	340	290
539	340	290
540	341	289
541	341	288
542	341	287
543	342	287
544	342	286
545	343	285
546	344	285
547	345	284
548	345	283
549	346	283
550	346	282
551	346	281
552	347	280
553	347	279
554	348	279
555	348	278
556	349	277
557	349	277
558	351	277
559	352	276
560	352	275
561	353	275
562	353	274
563	353	273
564	354	272
565	355	272
566	355	271
567	356	270
568	357	270
569	357	269
570	358	269
571	358	268
572	359	267
573	359	266
574	359	266
575	360	265
576	360	264
577	361	263
578	361	262
579	362	262
580	362	261
581	363	260
582	363	260
583	364	259
584	364	258
585	365	258
586	366	257
587	366	256
588	366	256
589	367	255
590	367	254
591	368	253
592	368	253
593	369	252
594	370	251
595	370	251
596	371	250
597	371	249
598	372	249
599	372	248
600	373	247
601	373	247
602	374	246
603	374	245
604	374	244
605	375	244
606	375	243
607	376	242
608	377	242
609	377	241
610	378	240
611	378	240
612	379	239
613	379	238
614	380	237
615	380	237
616	381	236
617	381	235
618	382	235
619	382	234
620	383	234
621	384	233
622	384	232
623	385	232
624	385	231
625	385	230
626	386	229
627	386	229
628	387	228
629	387	227
630	388	226
631	388	226
632	388	225
633	389	224
634	390	224
635	390	223
636	391	222
637	391	222
638	392	221
639	392	220
640	392	220
641	393	219
642	393	218
643	394	217
644	394	217
645	395	216
646	395	215
647	396	215
648	397	214
649	397	214
650	398	213
651	398	212
652	399	212
653	399	211
654	400	210
655	401	210
656	401	209
657	402	208
658	402	208
659	403	207
660	403	207
661	404	206
662	404	205
663	405	205
664	405	204
665	406	203
666	406	202
667	407	202
668	407	201
669	407	200
670	408	200
671	408	199
672	409	198
673	411	198
674	411	198
675	412	197
676	412	197
677	413	196
678	413	195
679	414	194
680	414	194
681	415	193
682	415	192
683	416	192
684	416	191
685	417	190
686	417	190
687	417	189
688	418	188
689	418	188
690	419	187
691	419	186
692	420	186
693	420	185
694	421	184
695	421	184
696	421	183
697	422	182
698	422	182
699	423	181
700	423	180
701	424	180
702	424	179
703	424	178
704	425	177
705	426	177
706	427	177
707	427	176
708	428	175
709	428	175
710	428	174
711	429	173
712	429	173
713	430	172
714	431	171
715	431	171
716	431	170
717	432	169
718	432	169
719	433	168
720	433	167
721	434	167
722	434	166
723	434	165
724	435	165
725	435	164
726	436	163
727	436	163
728	437	162
729	437	161
730	438	161
731	438	160
732	439	159
733	439	159
734	439	158
735	440	157
736	440	157
737	441	156
738	442	156
739	442	155
740	443	154
741	443	154
742	444	153
743	444	153
744	445	152
745	445	151
746	446	151
747	446	150
748	446	149
749	447	149
750	447	148
751	448	147
752	448	147
753	449	146
754	449	145
755	450	145
756	450	144
757	451	144
758	451	143
759	451	142
760	452	142
761	452	141
762	453	140
763	453	140
764	454	139
765	454	138
766	455	138
767	455	137
768	456	137
769	457	136
770	457	135
771	458	135
772	458	134
773	459	134
774	459	133
775	460	132
776	460	132
777	461	131
778	461	130
779	462	130
780	462	129
781	463	129
782	463	128
783	464	127
784	464	127
785	464	126
786	465	125
787	465	125
788	466	124
789	466	124
790	467	123
791	467	122
792	468	122
793	468	121
794	468	120
795	469	120
796	469	119
797	470	119
798	470	118
799	471	117
800	471	117
801	472	116
802	472	115
803	473	115
804	473	114
805	475	114
806	476	114
807	477	113
808	479	113
809	479	112
810	480	111
811	480	111
812	482	111
813	483	110
814	484	110
815	485	109
816	486	108
817	487	108
818	488	107
819	488	107
820	488	106
821	491	106
822	492	105
823	493	105
824	494	104
825	494	104
826	495	103
827	495	102
828	496	102
829	496	101
830	497	101
831	497	100
832	498	99
833	498	99
834	499	98
835	499	98
836	500	97
837	500	96
838	500	96
839	501	95
840	501	94
841	502	94
842	503	93
843	504	93
844	505	92
845	505	92
846	506	91
847	506	90
848	506	90
849	507	89
850	507	88
851	508	88
852	508	87
853	509	87
854	509	86
855	510	85
856	510	85
857	511	84
858	511	83
859	512	83
860	512	82
861	512	82
862	513	81
863	513	80
864	514	80
865	514	79
866	515	79
867	515	78
868	515	77
869	516	77
870	516	76
871	517	75
872	517	75
873	518	74
874	518	74
875	519	73
876	520	72
877	521	72
878	521	71
879	521	71
880	522	70
881	522	69
882	523	69
883	523	68
884	524	68
885	524	67
886	525	66
887	525	66
888	526	65
889	526	65
890	526	64
891	527	63
892	527	63
893	528	62
894	528	62
895	529	61
896	529	60
897	529	60
898	530	59
899	530	58
900	531	58
901	531	57
902	532	57
903	532	56
904	532	55
905	533	55
906	533	54
907	534	54
908	534	53
909	535	52
910	535	52
911	536	51
912	536	51
913	537	50
914	537	49
915	537	49
916	538	48
917	538	48
918	539	47
919	539	46
920	539	46
921	540	45
922	540	45
923	541	44
924	541	43
925	542	43
926	542	42
927	543	42
928	543	41
929	544	40
930	544	40
931	545	39
932	545	39
933	545	38
934	546	37
935	546	37
936	546	36
937	547	36
938	547	35
939	548	34
940	548	34
941	548	33
942	549	33
943	549	32
944	550	32
945	550	31
946	551	30
947	551	30
948	552	29
949	552	29
950	553	28
951	553	27
952	554	27
953	554	26
954	554	26
955	555	25
956	555	24
957	556	24
958	556	23
959	557	23
960	557	22
961	558	22
962	558	21
963	559	20
964	559	20
965	560	19
966	560	19
967	561	18
968	561	17
969	561	17
970	562	16
971	562	16
972	563	15
973	563	15
974	564	14
975	564	13
976	565	13
977	566	12
978	567	12
979	567	11
980	569	11
981	569	10
982	570	9
983	570	9
984	570	8
985	571	8
986	572	7
987	572	6
988	573	6
989	573	5
990	574	5
991	574	4
992	574	4
993	575	3
994	576	2
995	576	2
996	577	1
997	577	1
998	578	0
999	578	0
